query,label
netflix company profile,ticker_information
apple news score,news_sentiment
intel news analysis,news_sentiment
best sector right now,sector_recommendation
meta company details,ticker_information
uber vs grab,comparison
news sentiment tesla,news_sentiment
amd current price,price_query
intel company description,ticker_information
recommend innovative sector,sector_recommendation
INTC details,ticker_information
LYFT prediction tomorrow,prediction
amazon price now,price_query
nvidia or amd for investment,comparison
meta vs twitter comparison,comparison
salesforce price,price_query
META vs SNAP comparison,comparison
predict zoom tomorrow,prediction
microsoft trading price,price_query
ibm stock prediction tomorrow,prediction
best sector for future,sector_recommendation
tesla tomorrow price prediction,prediction
best sector for investment now,sector_recommendation
WMT current value,price_query
tell me about google,ticker_information
microsoft current value,price_query
predict meta tomorrow,prediction
ORCL stock tomorrow,prediction
predict pepsi tomorrow,prediction
google stock value,price_query
ZM price,price_query
which sector to invest in,sector_recommendation
uber lyft comparison,comparison
NFLX or DIS which better,comparison
what sector is hot,sector_recommendation
what is netflix,ticker_information
tomorrow tesla prediction,prediction
tell me microsoft prediction tomorrow,prediction
which sector is trending,sector_recommendation
AAPL information,ticker_information
nvidia news analysis,news_sentiment
TSLA details,ticker_information
TSLA current value,price_query
what is amazon,ticker_information
UBER tomorrow forecast,prediction
tell me about walmart,ticker_information
describe alphabet,ticker_information
sector analysis,sector_recommendation
updated meta sentiment,news_sentiment
recommend emerging sector,sector_recommendation
microsoft news sentiment,news_sentiment
compare tesla and ford,comparison
which sector is strong,sector_recommendation
sector suggestion,sector_recommendation
what's your prediction for microsoft tomorrow,prediction
best sector for profits,sector_recommendation
google stock details,ticker_information
info on NVDA,ticker_information
netflix vs hbo comparison,comparison
current price of AAPL,price_query
recommend investing sector,sector_recommendation
meta versus snap,comparison
NFLX details,ticker_information
best performing sector,sector_recommendation
google sentiment score,news_sentiment
amazon current value,price_query
amazon tomorrow stock,prediction
best healthcare sector,sector_recommendation
recommend good sector,sector_recommendation
boeing tomorrow prediction,prediction
compare meta and snap,comparison
SPOT tomorrow prediction,prediction
predict ibm for tomorrow,prediction
coca cola or pepsi,comparison
recommend safe sector,sector_recommendation
tesla news today,news_sentiment
sector recommendation,sector_recommendation
CRM stock price,price_query
KO prediction for tomorrow,prediction
tell me about amazon,ticker_information
sector recommendation please,sector_recommendation
tell me about apple,ticker_information
which sector is performing well,sector_recommendation
microsoft sentiment score,news_sentiment
recommend technology sector,sector_recommendation
compare walmart and target,comparison
nvidia worth,price_query
new nvidia sentiment,news_sentiment
info on NFLX,ticker_information
info on TSLA,ticker_information
UBER current price,price_query
coca cola forecast tomorrow,prediction
coca cola pepsi comparison,comparison
snap current price,price_query
apple company overview,ticker_information
what is AMD worth,price_query
tesla company description,ticker_information
predict amazon tomorrow,prediction
show me apple news,news_sentiment
intel sentiment today,news_sentiment
amd tomorrow forecast please,prediction
microsoft news,news_sentiment
tomorrow's apple stock prediction,prediction
walmart stock price now,price_query
predict uber stock tomorrow,prediction
info on AAPL,ticker_information
google news analysis,news_sentiment
check apple price,price_query
which sector is profitable,sector_recommendation
show tesla forecast for tomorrow,prediction
tesla news sentiment,news_sentiment
best financial sector,sector_recommendation
sector investment idea,sector_recommendation
coca cola or pepsi better,comparison
tesla vs ford which to buy,comparison
details on nvidia,ticker_information
which sector is stable,sector_recommendation
what sector to invest,sector_recommendation
amazon stock check,price_query
GOOGL vs AMZN,comparison
GOOGL versus AMZN,comparison
google stock price,price_query
today google sentiment,news_sentiment
what will AAPL be tomorrow,prediction
describe walmart company,ticker_information
META tomorrow forecast,prediction
best sector now,sector_recommendation
what's tomorrow's prediction for oracle,prediction
GOOGL information,ticker_information
amazon vs walmart comparison,comparison
difference between apple and microsoft,comparison
check apple sentiment,news_sentiment
netflix forecast tomorrow,prediction
google sentiment analysis,news_sentiment
walmart news score,news_sentiment
recommend sector investment,sector_recommendation
META stock prediction tomorrow,prediction
WMT sentiment,news_sentiment
recent tesla sentiment,news_sentiment
recommend growth sector,sector_recommendation
walmart price check,price_query
facts about microsoft,ticker_information
should i choose apple or microsoft,comparison
google company overview,ticker_information
info on MSFT,ticker_information
which sector should i go with,sector_recommendation
show microsoft price,price_query
TSLA compared to F,comparison
info on GOOGL,ticker_information
what will intel be worth tomorrow,prediction
compare AAPL with MSFT,comparison
recommend growing sector,sector_recommendation
WMT tomorrow forecast,prediction
INTC sentiment analysis,news_sentiment
netflix or disney better,comparison
google price check,price_query
recommend cyclical sector,sector_recommendation
amazon price info,price_query
walmart sentiment score,news_sentiment
UBER vs LYFT,comparison
what is apple stock,ticker_information
netflix sentiment analysis,news_sentiment
meta news,news_sentiment
IBM price now,price_query
what is apple stock price,price_query
meta sentiment info,news_sentiment
google tomorrow prediction,prediction
meta or twitter better,comparison
amazon sentiment today,news_sentiment
sector to invest in,sector_recommendation
google amazon comparison,comparison
boeing price,price_query
predict walmart stock for tomorrow,prediction
zoom stock forecast tomorrow,prediction
GOOGL current price,price_query
recommend defensive sector,sector_recommendation
tesla vs rivian which better,comparison
TSLA price now,price_query
